Camel Project ID,Type,Assignee,Reporter,Affected Versions,Fix Versions,Created Date,Created Epoch,Updated Date,Resolution Date,Description,Comments
21804,Improvement,Unassigned,Claus Ibsen,None,4.x,2025-02-26T10:30:19+0000,1740565819,2025-02-26T10:30:19+0000,,"The file component has more readLock implementations that we do not have in camel-smb.
We can take a look and see if we can port more over.",No comments found
21803,New Feature,Unassigned,Zineb Bendhiba,None,None,2025-02-26T10:16:16+0000,1740564976,2025-02-26T10:16:29+0000,,Similar to https://issues.apache.org/jira/browse/CAMEL-21718,No comments found
21802,New Feature,Nikita_Konovalov,Zineb Bendhiba,None,None,2025-02-26T10:14:56+0000,1740564896,2025-02-27T10:35:16+0000,,Similar to https://issues.apache.org/jira/browse/CAMEL-21718,No comments found
21801,New Feature,Unassigned,Claus Ibsen,None,4.x,2025-02-26T08:06:27+0000,1740557187,2025-02-26T08:06:27+0000,,"https://docs.spring.io/spring-cloud-config/docs/current/reference/html/
So you can use their config server to lookup username / password / urls to various configuration and use them as
placeholders in Camel routes.",No comments found
21800,Bug,Claus Ibsen,Claus Ibsen,4.10.0,"4.10.1,4.11.0",2025-02-26T06:34:37+0000,1740551677,2025-02-26T06:43:24+0000,2025-02-26T06:43:24+0000,No description available,No comments found
21799,Bug,Claus Ibsen,Vishesh,"4.8.0,4.10.0","4.8.4,4.10.1,4.11.0",2025-02-26T05:43:22+0000,1740548602,2025-02-26T10:43:57+0000,2025-02-26T06:17:58+0000,"We've observed a bug in camel-coap library latest version. As per observation solution received all the packet blockwise since the payload exceed the limit. At californium library level we can clearly see that all packages received successfully. However when it delegate the response to camel we just receive the last packet instead of full payload.
The root cause of the problem in the camel-coap library is located in the class org.apache.camel.coap.CamelCoapResource where, at line 137, the method getCurrentRequest is called instead of getRequest, causing only the last packet of a blockwise transfer to be received instead of the full payload.
byte[] bytes = exchange.getCurrentRequest().getPayload();
            camelExchange.getIn().setBody(bytes);",No comments found
21798,Improvement,Thomas Cunningham,Thomas Cunningham,None,4.11.0,2025-02-26T00:13:15+0000,1740528795,2025-02-26T19:32:44+0000,2025-02-26T19:32:44+0000,Add a proxy host / port to camel-pinecone,No comments found
21797,Improvement,Thomas Cunningham,Thomas Cunningham,None,4.11.0,2025-02-26T00:12:30+0000,1740528750,2025-02-26T06:18:18+0000,,"While researching pinecone, I noticed a number of operations we could add to the component :",No comments found
21796,Task,Thomas Cunningham,Thomas Cunningham,None,4.11.0,2025-02-26T00:10:19+0000,1740528619,2025-02-26T06:18:24+0000,,"In the pinecone component, collection is marked as mandatory :
https://github.com/apache/camel/blob/main/components/camel-ai/camel-pinecone/src/main/java/org/apache/camel/component/pinecone/PineconeVectorDbEndpoint.java#L47-L49
My reading of the pinecone docs is that collection is not a mandatory thing, and that collections really only apply to pod-based indexes, and not to servlerless indexes (https://docs.pinecone.io/guides/indexes/pods/understanding-collections)
https://docs.pinecone.io/reference/api/2024-10/control-plane/create_collection
I think we should remove the requirement that collection be mandatory.",No comments found
21795,Task,Andrea Cosentino,Andrea Cosentino,None,"4.10.1,4.11.0",2025-02-25T17:54:32+0000,1740506072,2025-02-26T11:16:40+0000,2025-02-26T11:16:40+0000,No description available,No comments found
21794,Bug,Claus Ibsen,Claus Ibsen,"4.8.3,4.10.0","4.10.1,4.11.0",2025-02-25T13:04:48+0000,1740488688,2025-02-25T15:04:35+0000,2025-02-25T15:04:35+0000,If you export a bean with Artemis broker then it initailizes the bean and Artemis fails when calling setBroker as it does some validation in their setter,No comments found
21793,Bug,Claus Ibsen,dvine,4.10.0,"4.10.1,4.11.0",2025-02-25T12:38:38+0000,1740487118,2025-02-27T09:32:22+0000,2025-02-27T09:32:22+0000,"When calling a route that has lots of kamelets we see that ends points fail to be created with the route cause being a concurrent java.util.ConcurrentModificationException when validateUniqueIds is called from addRouteToTemplate.
Caused by: java.util.ConcurrentModificationException
    at java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013)
    at java.base/java.util.ArrayList$Itr.next(ArrayList.java:967)
    at org.apache.camel.model.RouteDefinitionHelper.validateUniqueIds(RouteDefinitionHelper.java:268)
    at org.apache.camel.impl.DefaultModel.addRouteFromTemplate(DefaultModel.java:536)
    at org.apache.camel.impl.DefaultModel.addRouteFromTemplate(DefaultModel.java:416)
    at org.apache.camel.impl.DefaultCamelContext.addRouteFromTemplate(DefaultCamelContext.java:362)
    at org.apache.camel.component.kamelet.KameletComponent$LifecycleHandler.createRouteForEndpoint(KameletComponent.java:433)
Attached is a log and a repeatable route.  I think the error could be solved with making DefaultModel.routeDefinitions a concurrent list but I cannot build this locally due to network/company setup issues to try.",No comments found
21792,Bug,Andrea Cosentino,Mark Wimpory,4.10.0,"4.10.1,4.11.0",2025-02-25T12:05:05+0000,1740485105,2025-02-25T18:57:55+0000,2025-02-25T18:57:55+0000,"The camel kinesis consumer fails when KCL is set to true.

 

 
I have isolated the issue to the below.  The kinesis client exists in the configuration according to debug but the consumer is reading from the endpoint:

The other clients (dynamodb and cloudwatch) are created withing if statements and include a reference to the configuration.",No comments found
21791,Improvement,Unassigned,Claus Ibsen,None,4.11.0,2025-02-25T11:01:47+0000,1740481307,2025-02-25T11:01:54+0000,,"We should make it possible to use by setting transacted=true, and allow optional transaction.id prefix (need to generate uid). See for example how spring-kafka does it.
Also it may be that we need to have support for invoking being/commit/abort transaction methods, and if we can integrate this with spring-transaction / jta via Camel transacted EIP.",No comments found
21790,Bug,Claus Ibsen,Claus Ibsen,"4.8.3,4.10.0","4.8.4,4.10.1,4.11.0",2025-02-25T08:58:36+0000,1740473916,2025-02-25T09:35:54+0000,2025-02-25T09:35:54+0000,https://camel.zulipchat.com/#narrow/channel/257298-camel/topic/KafkaProducerMetadataCallBack.20in.20KafkaProducer,No comments found
21789,Task,Unassigned,Arvydas Sk,4.9.0,"4.10.1,4.11.0",2025-02-24T17:16:21+0000,1740417381,2025-02-24T18:38:24+0000,2025-02-24T18:38:24+0000,"We've observed that when a Gradle project includes the org.apache.camel.springboot:camel-spring-boot-starter dependency (version 4.9.0 or later) and Gradle's dependency cache is empty, the classpath resolution fails unless at least 3GB of memory (org.gradle.jvmargs=-Xmx3g) is allocated.
It can be reproduced with command:
 
./gradlew dependencies --refresh-dependencies
However, when using an older version, such as 4.8.0, the process runs smoothly with the default 512 MB memory allocation.
This could be related to
section added on
https://repo1.maven.org/maven2/org/apache/camel/camel-parent/4.9.0/camel-parent-4.9.0.pom
Also attached test project.",No comments found
21788,Improvement,Otavio Rodolfo Piske,Claus Ibsen,None,"4.10.1,4.11.0",2025-02-24T16:14:58+0000,1740413698,2025-02-25T09:33:54+0000,2025-02-25T08:18:33+0000,https://camel.zulipchat.com/#narrow/channel/257298-camel/topic/KafkaProducerMetadataCallBack.20in.20KafkaProducer,No comments found
21787,New Feature,Unassigned,Claus Ibsen,None,4.x,2025-02-24T13:33:49+0000,1740404029,2025-02-24T13:33:49+0000,,"The source and sink kamelets are using a camel component under the hood. However the kamelet have only N options, and when you know there is a option from the component you want to use but its not in the kamelet, then its not possible today.
We should have some advanced mode, where you can then declare the option still.",No comments found
21786,New Feature,Pasquale Congiusti,Pasquale Congiusti,None,4.11.0,2025-02-24T12:03:43+0000,1740398623,2025-02-26T14:19:30+0000,2025-02-26T14:19:30+0000,The new component is based on the camel-telemetry abstraction and will replace camel-opentelemetry eventually.,No comments found
21785,Improvement,James Netherton,James Netherton,None,"4.10.1,4.11.0",2025-02-24T11:59:55+0000,1740398395,2025-02-24T14:02:23+0000,2025-02-24T14:02:23+0000,"Seems we don't currently generate configurer classes for the camel-main k8s vault configuration.
It'd be good to get this added so that we don't have to do runtime reflection in Camel Quarkus.",No comments found
21784,Improvement,Unassigned,Marco Carletti,4.10.0,None,2025-02-24T10:54:03+0000,1740394443,2025-02-24T11:50:36+0000,2025-02-24T11:16:45+0000,"Running using jbang from maven project as stated in the documentation won't load all the necessary dependencies, maybe it should support jbang generated project.
i.e. exporting to Spring Boot runtime will generate a correct Maven project but it is unable to run it:
similar commands exporting to Quarkus application has not compilation problems but the route isn't loaded as expected:",No comments found
21783,Improvement,Unassigned,Sam,None,None,2025-02-24T09:39:44+0000,1740389984,2025-02-24T12:59:19+0000,2025-02-24T10:20:38+0000,"We are using KAFKA TRANSACTION MANAGER WITH SPRING TRANSACTION POLICY.
We are adding that with .transacted() but still the camel kafka is not partificpating in it.",No comments found
21782,Improvement,Claus Ibsen,Claus Ibsen,4.10.0,"4.10.1,4.11.0",2025-02-24T09:33:40+0000,1740389620,2025-02-24T13:38:06+0000,2025-02-24T13:38:06+0000,This kind of logic should be in the doXXX methods and not in the createConsumer,No comments found
21781,Task,Jiri Ondrusek,Jiri Ondrusek,4.11.0,4.11.0,2025-02-24T09:24:57+0000,1740389097,2025-02-24T12:08:37+0000,2025-02-24T12:08:37+0000,"Recent change in Camel (commit) removed
.
The service file has to be removed as well .",No comments found
21780,Bug,Claus Ibsen,Thomas Gantenbein,4.10.0,"4.10.1,4.11.0",2025-02-22T12:52:21+0000,1740228741,2025-02-22T16:31:26+0000,2025-02-22T16:31:26+0000,"A RouteBuilder with the following routes:
results in the following Exception at startup:
Remove the .id there or downgrade to Camel 4.9.0 and the exception is gone.It seems to be something about the combination of the choice and enrich EIP: Remove the choice and things will be fine. Replace enrich with some processor and things will be fine, too.",No comments found
21779,Improvement,Claus Ibsen,Claus Ibsen,4.10.0,"4.10.1,4.11.0",2025-02-22T12:25:38+0000,1740227138,2025-02-24T15:42:53+0000,2025-02-23T09:16:59+0000,https://camel.zulipchat.com/#narrow/channel/257298-camel/topic/Camel.204.2E10.2E0.3A.20The.20file.20based.20SMB.20component,No comments found
21778,Bug,Claus Ibsen,Claus Ibsen,"4.8.3,4.10.0","4.8.4,4.10.1,4.11.0",2025-02-22T12:24:50+0000,1740227090,2025-02-22T12:55:40+0000,2025-02-22T12:55:23+0000,https://camel.zulipchat.com/#narrow/channel/257298-camel/topic/Step.20ids.20are.20not.20properly.20used.20when.20using.20threads.2E,No comments found
21777,Improvement,Unassigned,Claus Ibsen,None,4.x,2025-02-22T08:19:46+0000,1740212386,2025-02-22T08:19:46+0000,,Add an option to show --description instead of ID in the outputs,No comments found
21776,Bug,Unassigned,Claus Ibsen,4.8.0,"4.8.4,4.10.1,4.11.0",2025-02-22T07:00:30+0000,1740207630,2025-02-22T07:01:01+0000,2025-02-22T07:00:51+0000,"Reported on user mailing list
I think there is a bug with DefaultRoute when using onException since version 4.8.
Exception route processors get never initialized which make the route fail to started later on.
I think the problem is there:
https://github.com/apache/camel/blame/fa02c9e4879fac119a7f2b4f1b4ff46f646c48eb/core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/DefaultRoute.java#L701
introduce by commit:
https://github.com/apache/camel/commit/26a9aa91a2bbb741c948ca8c943a0989da2986fd
I should be ""p"" instead of ""processor"". ""processor"" have already been added at line 692.


Jonathan Simard",No comments found
21775,Bug,Claus Ibsen,Jonathan Simard,"4.8.3,4.10.0","4.8.4,4.10.1,4.11.0",2025-02-21T21:54:43+0000,1740174883,2025-02-22T08:21:27+0000,2025-02-22T08:21:27+0000,"Using the supervised route controller,
when a split is defined in a onException of a route, the route cannot  be started.
I suspect 2 issues:
https://github.com/apache/camel/blob/fa02c9e4879fac119a7f2b4f1b4ff46f646c48eb/core/camel-base-engine/src/main/java/org/apache/camel/impl/engine/DefaultRoute.java#L700
https://github.com/apache/camel/blob/2192884d371377423dbada7f2870057cabdef8b4/components/camel-bean/src/main/java/org/apache/camel/language/bean/BeanExpression.java#L352
See included reproducer.",No comments found
21774,Improvement,Claus Ibsen,Claus Ibsen,None,4.11.0,2025-02-21T12:31:23+0000,1740141083,2025-02-22T06:57:00+0000,2025-02-22T06:57:00+0000,"You may connect to a kafka broker with a given topic name, and the broker is configured to not auto-create. And the consumer will then fail to subscribe, and keep looping.
We should have option topicMustExist=true|false you can set so you can tell Camel to fail if the topic does not exist.",No comments found
21773,Dependency upgrade,Claus Ibsen,Claus Ibsen,None,4.8.4,2025-02-21T11:00:29+0000,1740135629,2025-02-21T11:03:29+0000,2025-02-21T11:03:29+0000,No description available,No comments found
21772,Dependency upgrade,Unassigned,Claus Ibsen,None,"4.10.1,4.11.0",2025-02-20T18:56:50+0000,1740077810,2025-02-21T11:00:00+0000,2025-02-21T11:00:00+0000,https://github.com/spring-projects/spring-boot/milestone/373?closed=1,No comments found
21771,Bug,Unassigned,James Netherton,None,None,2025-02-20T15:56:41+0000,1740067001,2025-02-20T17:45:31+0000,2025-02-20T17:45:31+0000,"Discovered when testing Kubernetes secret refreshing & context reloading on Camel Quarkus. When the context reload happens, there's a warning in the logs like:
The SecretsReloadTriggerTask service is being registered twice via different code paths.",No comments found
21770,Bug,James Netherton,James Netherton,4.10.0,"4.10.1,4.11.0",2025-02-20T14:58:29+0000,1740063509,2025-02-24T14:59:23+0000,2025-02-24T09:35:24+0000,"There's a problem with context reloading triggered from k8s secrets when using an autowired KubernetesClient.
Both SecretsReloadTriggerTask and AbstractKubernetesEndpoint close the KubernetesClient. When routes get refreshed, the closed client is wired back in an unusable state.",No comments found
21769,Bug,Claus Ibsen,Narsi Reddy Nallamilli,4.8.0,"4.8.4,4.10.1,4.11.0",2025-02-20T12:37:35+0000,1740055055,2025-02-26T09:22:35+0000,2025-02-21T09:01:20+0000,"Below scenario the processing of the message threw memory error. so further processing of the exchange aborted, however the exchange couldn't get released from Sqs2Consumer timeoutExtender, as a result the message gets visibility extended forever causing the entire aws sqs queue to get blocked.",No comments found
21768,New Feature,Andrea Cosentino,Andrea Cosentino,None,4.11.0,2025-02-20T09:44:31+0000,1740044671,2025-02-20T09:44:41+0000,,No description available,No comments found
21767,New Feature,Andrea Cosentino,Andrea Cosentino,None,4.11.0,2025-02-20T09:44:00+0000,1740044640,2025-02-20T13:38:08+0000,2025-02-20T13:38:08+0000,No description available,No comments found
21766,Bug,Unassigned,michael elbaz,4.10.0,None,2025-02-19T19:46:56+0000,1739994416,2025-02-20T09:31:06+0000,2025-02-20T09:04:17+0000,"this code not work
.transform().simple(""${jsonpath($.id)}"")
the exception:
20:35:24.994 ERROR [Blueprint Event Dispatcher: 1] Error occurred during starting CamelContext: dt-integ-dispatch-chat
org.apache.camel.FailedToCreateRouteException: Failed to create route log-route at: >>> Transform[simple\{${jsonpath($.tId)}}] <<< in route: Route(log-route)[From[direct:log-route] -> [OnException[[jav... because of Unknown function: jsonpath($.tId) at location 0
${jsonpath($.tId)}
*
at org.apache.camel.reifier.RouteReifier.doCreateRoute(RouteReifier.java:215) ~[?:?]
        at org.apache.camel.reifier.RouteReifier.createRoute(RouteReifier.java:75) ~[?:?]
        at org.apache.camel.impl.DefaultModelReifierFactory.createRoute(DefaultModelReifierFactory.java:49) ~[?:?]
        at org.apache.camel.impl.DefaultCamelContext.startRouteDefinitions(DefaultCamelContext.java:937) ~[?:?]
        at org.apache.camel.impl.DefaultCamelContext.startRouteDefinitions(DefaultCamelContext.java:800) ~[?:?]
        at org.apache.camel.impl.engine.AbstractCamelContext.doInit(AbstractCamelContext.java:3028) ~[?:?]
        at org.apache.camel.support.service.BaseService.init(BaseService.java:83) ~[?:?]
        at org.apache.camel.impl.engine.AbstractCamelContext.init(AbstractCamelContext.java:2699) ~[?:?]
        at org.apache.camel.support.service.BaseService.start(BaseService.java:111) ~[?:?]
        at org.apache.camel.impl.engine.AbstractCamelContext.start(AbstractCamelContext.java:2718) ~[?:?]
        at org.apache.camel.impl.DefaultCamelContext.start(DefaultCamelContext.java:262) ~[?:?]
        at org.apache.camel.blueprint.BlueprintCamelContext.start(BlueprintCamelContext.java:241) ~[?:?]
        at org.apache.camel.blueprint.BlueprintCamelContext.maybeStart(BlueprintCamelContext.java:283) ~[?:?]
        at org.apache.camel.blueprint.BlueprintCamelContext.blueprintEvent(BlueprintCamelContext.java:188) ~[?:?]
        at org.apache.aries.blueprint.container.BlueprintEventDispatcher$3.call(BlueprintEventDispatcher.java:197) ~[?:?]
        at org.apache.aries.blueprint.container.BlueprintEventDispatcher$3.call(BlueprintEventDispatcher.java:195) ~[?:?]
        at java.util.concurrent.FutureTask.run(FutureTask.java:317) ~[?:?]
        at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:572) ~[?:?]
        at java.util.concurrent.FutureTask.run(FutureTask.java:317) ~[?:?]
        at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:572) ~[?:?]
        at java.util.concurrent.FutureTask.run(FutureTask.java:317) ~[?:?]
        at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:304) ~[?:?]
        at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1144) ~[?:?]
        at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:642) ~[?:?]
        at java.lang.Thread.run(Thread.java:1583) [?:?]
Caused by: org.apache.camel.language.simple.types.SimpleIllegalSyntaxException: Unknown function: jsonpath($.tId) at location 0
${jsonpath($.tId)}",No comments found
21765,Task,Unassigned,Aurélien Pupier,4.10.0,4.x,2025-02-19T15:34:36+0000,1739979276,2025-02-22T16:05:51+0000,,"Final release is planned for the 18th March
https://openjdk.org/projects/jdk/24/
this is the last release before the next Java LTS 25, planned for September 2025). it would be nice to to ensure there is no major issue before the LTS.
I guess the most impacting part is potentially the removal of the SecurityManager https://openjdk.org/jeps/486 . In case, not using the removed API, might be time to remove surrounding deprecated API (see removing related APIs in https://openjdk.org/jeps/486#Advice-to-maintainers-of-libraries-that-support-the-Security-Manager )
another interesting thing are the first Quantum-Resistant modules https://openjdk.org/jeps/496 and https://openjdk.org/jeps/497",No comments found
21764,Task,Andrea Cosentino,Andrea Cosentino,None,4.11.0,2025-02-19T15:11:45+0000,1739977905,2025-02-19T15:28:21+0000,2025-02-19T15:28:21+0000,No description available,No comments found
21763,Improvement,Unassigned,Gaelle Fournier,None,None,2025-02-19T12:40:32+0000,1739968832,2025-02-19T16:51:22+0000,,"DeploymentConfig  usage has been deprecated since openshift 4.14
Jkube has not yet set Deployment as default so it's up to our code to set it as default.",No comments found
21762,Improvement,Claus Ibsen,Claus Ibsen,None,4.11.0,2025-02-19T11:57:28+0000,1739966248,2025-02-19T14:39:28+0000,2025-02-19T14:39:28+0000,"You may have some routes you want to start later in the test, or not to be started, but still included.
For CSB tests with annotations, we may want to have a @AutoStartupExcludePattern where you can then specify route ids, or endpoint urls that should not be automatic started. So you can do (""kafka,amqp"") to not start routes that start from kafka or amqp",No comments found
21761,Improvement,Grzegorz Grzybek,Grzegorz Grzybek,None,"4.8.4,4.10.1,4.11.0",2025-02-19T11:23:32+0000,1739964212,2025-02-19T11:52:32+0000,2025-02-19T11:52:32+0000,"Follow up of CAMEL-21750, but this time fixed the right way.",No comments found
21760,New Feature,Thomas Diesler,Thomas Diesler,None,4.11.0,2025-02-19T11:04:17+0000,1739963057,2025-02-27T10:47:57+0000,,No description available,No comments found
21759,Improvement,Claus Ibsen,Claus Ibsen,None,4.11.0,2025-02-19T08:22:27+0000,1739953347,2025-02-19T11:57:37+0000,2025-02-19T10:09:17+0000,"Something similar to MockEndpointsAndSkip but those only works for sending. You may have routes started from kafka, and you dont want to use kafka for an unit test, and then you would otherwise need to stub that, or remove the route, or whatever.",No comments found
21758,Bug,Claus Ibsen,Ivan Ravin,4.8.2,"4.8.4,4.10.1,4.11.0",2025-02-18T13:13:05+0000,1739884385,2025-02-18T13:23:39+0000,2025-02-18T13:23:39+0000,"TemporaryQueueReplyManager extends ReplyManagerSupport. Parent class contains method doStop(). But override method does not contains super.doStop() call:
So, TemporaryQueueReplyManager starts some services, but not stop it. This is not big problem in standalone applications, but problem in Karaf environment. If I install route with InOut jms endpoint, and then stop it or even uninstall it, camel-jms continues to use broker connections and temporary queues. Need to add super.doStop() call:",No comments found
21757,Improvement,Unassigned,Sam,4.8.0,"4.8.4,4.10.1,4.11.0",2025-02-18T12:03:12+0000,1739880192,2025-02-26T10:14:15+0000,2025-02-25T11:02:38+0000,"Kafka<-> with Kafka and with consumercount=24 So I am getting ProducerFencedException
 
And as we are using additionaProperties[transactional.id]=""transaction-producer""+UUID.randomUUID() enable.idempotence=true and retries=5 , we are also getting Invalid Transition attempted from state IN_TRANSACTION TO state IN_TRANSACTION",No comments found
21756,Task,Claus Ibsen,Claus Ibsen,4.10.0,"4.10.1,4.11.0",2025-02-18T11:55:23+0000,1739879723,2025-02-18T12:39:48+0000,2025-02-18T12:39:48+0000,We use maven 3.9.5 and there is 3.9.9 which we should upgrade,No comments found
21755,Bug,Claus Ibsen,Raymond,4.10.0,"4.10.1,4.11.0",2025-02-18T09:01:40+0000,1739869300,2025-02-24T12:08:25+0000,2025-02-24T12:08:25+0000,"I have the following routes:
I use this route with
<setExchangePattern pattern=""InOut""/>
And
<setExchangePattern pattern=""InOnly""/>
In Camel 4.9.0 both returns the following response:
After upgrading to Camel 4.10.0 the InOnly still gives this response, but the InOut returns the orginal body. I attached a reproducer.",No comments found
21754,Bug,Claus Ibsen,Claus Ibsen,4.10.0,"4.10.1,4.11.0",2025-02-18T06:19:26+0000,1739859566,2025-02-18T06:20:51+0000,2025-02-18T06:20:51+0000,https://camel.zulipchat.com/#narrow/channel/257298-camel/topic/Mail.2C.20log.20level.20DEBUG.20give.20exception.2E,No comments found
21753,Bug,Thomas Diesler,Thomas Diesler,4.10.0,"4.10.2,4.11.0",2025-02-17T14:29:08+0000,1739802548,2025-02-24T18:40:23+0000,,,No comments found
21752,Bug,Unassigned,Gianluca,4.10.0,"4.10.1,4.11.0",2025-02-17T13:34:05+0000,1739799245,2025-02-17T15:12:08+0000,2025-02-17T15:12:08+0000,"When trying to connect to a server with DFS mode enabled, a connection error appears.
To set DFS mode to true, an SmbConfig object must be created with the withDFSEnable parameter set to true.
This object allows for advanced client configuration.
Here is an example with Camel Spring Boot:
However, the configuration is not applied during the client connection. The configuration is not passed this constructor.",No comments found
21751,Bug,Thomas Diesler,Thomas Diesler,None,None,2025-02-17T12:34:52+0000,1739795692,2025-02-27T12:59:53+0000,,"I have a plugin configuration like this ...
and get
or
CrossRef: https://github.com/eclipse-jkube/jkube/issues/3672",No comments found
21750,Task,Claus Ibsen,Claus Ibsen,4.10.0,"4.8.4,4.10.1,4.11.0",2025-02-17T12:14:31+0000,1739794471,2025-02-19T11:23:53+0000,2025-02-17T18:42:51+0000,"Reported on user mailing list: https://lists.apache.org/thread/jk06xkoo33fz6zjkn7l3o66blqfz2zwl
Gregor is looking into if something can be made fast inside maven-resolver. But we should also look at not using google BOM as we only use a limited set of google services and each we can control dependencies there without BOM",No comments found
21749,New Feature,Unassigned,Mikael Koskinen,4.10.0,None,2025-02-17T09:57:34+0000,1739786254,2025-02-18T10:57:45+0000,,"Currently NATS Producer and Consumer both only use some of the headers included in the NATS msg:
This is problematic in couple of ways: NATS nowadays has quite many headers which are missing from the list. And also as NATS itself doesn't limit what headers are used, the headers often contain app specific metadata which would be helpful to have in Camel Integrations.
Does the NATS component have to limit the headers that it reads? Could it read them all? Or could we use something like headerFilterStrategy in this?
I'm happy to help with implementing the code but would appreciate if someone can provide guidance on design.",No comments found
21748,Task,Andrea Cosentino,Andrea Cosentino,None,"4.10.1,4.11.0",2025-02-17T09:14:37+0000,1739783677,2025-02-17T13:05:17+0000,2025-02-17T13:05:17+0000,No description available,No comments found
21747,Bug,Claus Ibsen,Claus Ibsen,"4.8.3,4.10.0","4.8.4,4.10.1,4.11.0",2025-02-16T15:23:06+0000,1739719386,2025-02-16T15:29:49+0000,2025-02-16T15:29:49+0000,"If you use the backlog debugger and a suspended is timed out, because the user is not continuing after 5 minutes. Then the state of suspended should be removed. This may otherwise affect tooling that would visualze that a breakpoint is suspended.
https://github.com/hawtio/hawtio-next/issues/303#issuecomment-2660011910",No comments found
